tid,toi,tfopwg_disp,pl_orbper,pl_tranmid,pl_trandurh
191998744,"6395.01","PC",2.8140328,2459958.6143240,4.3090000
73244652,"6396.01","FP",8.2100724,2459600.0626510,1.3700000
359629653,"6397.01","PC",1.6707289,2459960.0186740,0.7070000
353586703,"6398.01","FP",3.0043128,2459961.5992040,0.7140000
287207371,"6399.01","PC",12.6427441,2459960.2228200,7.9170000
147977348,"640.01","CP",5.0037758,2459250.3381290,3.4390000
88999533,"6400.01","PC",5.0358501,2459983.7807150,6.3910000
150470555,"6401.01","PC",3.0199448,2459983.6762630,2.1290000
265076459,"6402.01","PC",3.4053234,2459986.0997820,1.7940000
94405787,"6403.01","PC",742.6828090,2459979.3935330,5.0520000
141395223,"6404.01","PC",3.7442969,2459985.4632130,1.3780000
142908390,"6405.01","PC",6.7392054,2459980.1709420,0.8390000
31605271,"6406.01","PC",2.2314165,2459984.1344290,1.2550000
97925605,"6407.01","PC",8.9913818,2459973.6812740,6.9050000
278726770,"6654.01","FP",9.5160032,2460973.5850360,2.2744220
304690618,"6655.01","PC",6.8672313,2460116.0805160,2.8580000
304690618,"6655.02","PC",12.9587054,2460110.4879040,3.5980000
262457587,"6656.01","FA",0.8219599,2460123.3257340,2.1470000
96475638,"6657.01","PC",4.0610981,2460115.2283640,1.9640000
292221593,"6658.01","PC",5.6494351,2460124.0892040,5.2140000
272768631,"6659.01","PC",7.3120981,2460121.6762410,1.4280000
82128636,"666.01","APC",7.4760689,2458521.5041670,1.5699592
468178519,"6660.01","PC",2.9852193,2460097.7641180,3.7760499
355895977,"6661.01","PC",10.5789534,2459425.1957100,2.8444195
418343229,"6662.01","PC",0.2939493,2458816.1861500,0.5422359
192014454,"6665.01","PC",735.7979170,2458847.2639630,5.9484218
206361691,"6668.01","PC",718.6520030,2458363.2220840,14.6548943
126171392,"5899.01","FP",0.7835688,2459823.0813260,1.0950000
270841724,"590.01","FP",18.9037200,2458522.0235900,9.0670000
224635135,"5900.01","PC",2.4667486,2459820.2754380,2.9840000
294173437,"5901.01","FP",5.5559050,2459820.5806890,3.4590000
65737977,"5902.01","PC",4.8292589,2459823.0394520,4.0840000
60542708,"5903.01","PC",2.4707357,2459819.2812870,1.5970000
408317165,"5904.01","PC",5.6567374,2459820.7803250,3.2230000
341299943,"5905.01","PC",3.0233509,2459821.9997670,2.3690000
