kepid,kepler_name,kepoi_name,koi_disposition,koi_period,koi_time0bk,koi_duration
2837111,,"K01110.02","CANDIDATE",3.71840884,134.6575,3.611
3241619,,"K06312.01","FALSE POSITIVE",1.703347524,132.4680448,3.3039
3241662,,"K06313.01","FALSE POSITIVE",1.70332915,132.47294,1.663
3245000,,"K06314.01","FALSE POSITIVE",20.413812,148.5092,5.806
3246867,,"K06315.01","CANDIDATE",5.32737192,133.27114,2.226
3247294,,"K06316.01","FALSE POSITIVE",67.41958542,133.431122,7.645
3248332,,"K06317.01","FALSE POSITIVE",7.363572395,138.70442,5.7545
3249334,,"K06318.01","CANDIDATE",5.90260586,136.35507,1.832
3323289,,"K06319.01","FALSE POSITIVE",33.693201537,158.866724,7.44219
3324069,,"K06320.01","CANDIDATE",22.80265,132.9476,19.34
4758350,,"K06447.01","FALSE POSITIVE",1.120997701,131.48486,11.243
4758368,,"K06448.01","FALSE POSITIVE",1.874967748,132.701553,10.0159
4760959,,"K06449.01","CANDIDATE",29.9315174,135.0082,2.53
4764969,,"K06450.01","CANDIDATE",0.602277579,131.5303,2.38
4768756,,"K06451.01","FALSE POSITIVE",2.40440112,133.1975,5.49
4769824,,"K06452.01","FALSE POSITIVE",21.926779,135.5453,10.05
4773155,,"K06453.01","FALSE POSITIVE",25.706001174,156.644215,10.969
4830859,,"K06454.01","CANDIDATE",27.2173855,144.6728,3.268
4832273,,"K06455.01","FALSE POSITIVE",501.90703,205.619,12.43
5353938,,"K06568.01","CANDIDATE",6.27651592,136.18032,1.973
5359678,,"K06569.01","FALSE POSITIVE",3.115304946,133.1240488,4.88748
5380812,,"K06570.01","CANDIDATE",16.214474,136.435,4.149
5385469,,"K06571.01","FALSE POSITIVE",12.422524,141.875,13.55
5385647,,"K06572.01","FALSE POSITIVE",12.4269264,141.4499,21.826
5385667,,"K06573.01","FALSE POSITIVE",12.4261809,141.5307,29.09
5388229,,"K06574.01","FALSE POSITIVE",0.61810542,131.74488,6.666
5389184,,"K06575.01","FALSE POSITIVE",1.06995136,132.30469,1.322
6421483,,"K06703.01","FALSE POSITIVE",2.158398259,131.894054,8.1633
6421937,,"K06704.01","FALSE POSITIVE",359.534371,218.68613,24.205
6423922,,"K06705.01","CANDIDATE",0.9951412,131.5268,5.588
6428942,,"K06706.01","FALSE POSITIVE",534.86668,209.0227,8.19
6436505,,"K06707.01","CANDIDATE",43.535891,155.20055,4.712
6437993,,"K06708.01","FALSE POSITIVE",1.39797542,131.6767,9.06
6442246,,"K06709.01","FALSE POSITIVE",2.2127498,132.7452,3.054
6443392,,"K06710.01","FALSE POSITIVE",0.776976021,132.2745574,1.95401
7137798,,"K06836.01","FALSE POSITIVE",2.25353739,132.486708,5.74622
7177553,,"K06837.01","FALSE POSITIVE",17.99646148,139.5431461,4.65638
7177892,,"K06838.01","FALSE POSITIVE",1.386249249,132.742206,2.99104
7185487,,"K06839.01","FALSE POSITIVE",0.53482911,131.7369,0.996
7198648,,"K06840.01","FALSE POSITIVE",0.566799833,131.64094,5.543
7199935,,"K06841.01","FALSE POSITIVE",0.566795728,131.8148,2.79
7200102,,"K06842.01","FALSE POSITIVE",14.665759784,139.5741023,3.65814
7200225,,"K06843.01","FALSE POSITIVE",0.566780836,131.8749,4.937
8488381,,"K07888.01","CANDIDATE",4.7368156,131.7876,2.84
8111622,,"K06968.01","FALSE POSITIVE",15.44605962,145.5341274,4.5963
8112013,,"K06969.01","FALSE POSITIVE",1.790518325,132.9384734,3.34624
8115647,,"K06970.01","CANDIDATE",40.7698541,158.86363,2.997
8120820,,"K06971.01","CANDIDATE",129.222771,255.1859,7.272
8123170,,"K06972.01","FALSE POSITIVE",1.03905082,132.5348,3.035
8123937,,"K06973.01","FALSE POSITIVE",0.503201954,131.78436,0.167
8128965,,"K06974.01","FALSE POSITIVE",7.140373046,138.008012,7.07032
8129189,,"K06975.01","FALSE POSITIVE",53.647084859,152.97204,19.9499
8878681,,"K07103.01","FALSE POSITIVE",2.496328637,132.2054088,2.73115
8879427,,"K07104.01","FALSE POSITIVE",16.31328124,136.853981,4.45731
8879915,,"K07105.01","FALSE POSITIVE",1.721313779,132.5318957,3.54768
8881169,,"K07106.01","CANDIDATE",5.01880305,132.25191,1.823
8890996,,"K07107.01","FALSE POSITIVE",1.50650745,132.98683,2.622
8906676,,"K07108.01","FALSE POSITIVE",8.209514329,134.0632157,4.14104
8938628,,"K07109.01","FALSE POSITIVE",3.431126546,133.593104,2.7986
8940961,,"K07110.01","FALSE POSITIVE",1.583334941,132.377894,4.4854
8953278,,"K07111.01","CANDIDATE",23.59919017,134.2797605,2.05
9821078,,"K07234.01","FALSE POSITIVE",8.429438192,132.2922535,3.94306
9821428,,"K07235.01","CANDIDATE",299.70688,360.3939,15.39
9837013,,"K07236.01","CANDIDATE",14.461834,137.2566,7.156
9848420,,"K07237.01","FALSE POSITIVE",7.9320191,136.4321,8.18
9850387,,"K07238.01","FALSE POSITIVE",1.374249107,131.662968,5.3181
9850912,,"K07239.01","FALSE POSITIVE",8.4804737,135.834,6.157
9852050,,"K07240.01","FALSE POSITIVE",0.94242156,132.1165604,1.89
9873869,,"K07241.01","FALSE POSITIVE",4.994773558,136.1744922,4.48893
10736223,,"K07367.01","FALSE POSITIVE",1.105094098,132.5461998,4.38191
10736489,"Kepler-1974 b","K07368.01","CONFIRMED",6.842939,137.0596,2.8
10743600,,"K07369.01","FALSE POSITIVE",0.8170226,132.022858,2.974
10751908,,"K07370.01","CANDIDATE",4.48538145,135.29081,2.297
10753734,,"K07371.01","FALSE POSITIVE",19.40669392,149.807826,5.27765
10794242,,"K07372.01","FALSE POSITIVE",7.143708297,137.8041949,5.83451
10794405,,"K07373.01","FALSE POSITIVE",0.952377862,132.335117,4.0869
10809677,,"K07374.01","FALSE POSITIVE",3.521050679,134.218545,3.5323
10812541,,"K07375.01","CANDIDATE",4.84847245,131.90954,0.874
11967004,,"K07499.01","FALSE POSITIVE",1.941635737,133.1097354,2.46683
11968490,,"K07500.01","FALSE POSITIVE",0.539445498,131.898299,2.2821
11970288,,"K07501.01","FALSE POSITIVE",20.7106853,134.03192,42.737
12004679,,"K07502.01","FALSE POSITIVE",2.521245368,132.8563627,4.24027
12004680,,"K07503.01","FALSE POSITIVE",2.52122764,132.86973,2.249
12004689,,"K07504.01","FALSE POSITIVE",2.5212708,132.8596,2.706
12013615,,"K07505.01","FALSE POSITIVE",8.202869679,138.5109062,7.29811
12016243,,"K07506.01","CANDIDATE",11.8436119,138.0037,6.044
12022517,,"K07507.01","FALSE POSITIVE",3.442714533,132.3912568,3.36034
6307521,,"K01126.02","FALSE POSITIVE",475.91706,588.8926,22.86
7037540,,"K01347.02","FALSE POSITIVE",0.858285844,131.87904,1.799
11129738,,"K01427.02","CANDIDATE",4.88446644,135.24744,2.057
10028792,,"K01574.04","CANDIDATE",8.9772888,133.44748,4.72
4860678,,"K01602.02","CANDIDATE",3.03359398,133.08355,4.026
5531953,,"K01681.04","CANDIDATE",21.9139549,148.52144,3.271
4349442,,"K01803.03","FALSE POSITIVE",6.238315363,134.3054225,2.501
7765528,,"K01840.02","CANDIDATE",9.3888216,134.42144,4.154
3327980,,"K06321.01","FALSE POSITIVE",2.115510941,131.99122,7.2877
3329643,,"K06322.01","FALSE POSITIVE",1.015044104,131.56407,10.994
3335816,,"K06323.01","FALSE POSITIVE",3.711013336,132.4882537,3.31024
3337438,,"K06324.01","FALSE POSITIVE",2.97606298,132.9637,4.124
3337548,,"K06325.01","FALSE POSITIVE",2.97586085,133.0352,4.513
3339538,,"K06326.01","FALSE POSITIVE",14.658013949,140.4756141,3.03316
3341934,,"K06327.01","FALSE POSITIVE",18.839487435,137.7695421,5.62797
3343866,,"K06328.01","FALSE POSITIVE",0.555973803,131.96589,1.271
4839180,,"K06456.01","FALSE POSITIVE",4.426344495,134.231165,5.84235
4840263,,"K06457.01","FALSE POSITIVE",0.957823876,132.414882,3.7232
4840818,,"K06458.01","FALSE POSITIVE",5.024768971,133.120142,3.82433
4847832,,"K06459.01","FALSE POSITIVE",30.960216668,156.1595497,15.4308
4851217,,"K06460.01","FALSE POSITIVE",2.470283788,133.251861,7.8391
4851338,,"K06461.01","FALSE POSITIVE",1.23516416,131.99301,4.713
4851356,,"K06462.01","FALSE POSITIVE",1.23513471,132.0046,5.44
4862332,,"K06463.01","FALSE POSITIVE",0.8903331,131.5337,2.643
4862625,,"K06464.01","FALSE POSITIVE",20.000242814,134.82021,5.0042
5393558,,"K06576.01","FALSE POSITIVE",10.217121652,137.2457336,4.35647
5397905,,"K06577.01","FALSE POSITIVE",0.618060842,131.63533,1.892
5444392,,"K06578.01","FALSE POSITIVE",0.759764419,131.7927631,5.72501
5456979,,"K06579.01","CANDIDATE",2.6528082,131.5439,2.297
5460835,,"K06580.01","FALSE POSITIVE",21.539269242,144.1542761,5.32432
5462901,,"K06581.01","FALSE POSITIVE",5.270733213,136.180853,2.7822
5466109,,"K06582.01","CANDIDATE",2.43135542,133.92077,1.401
5471010,,"K06583.01","FALSE POSITIVE",12.4232158,141.7294,17.67
6447326,,"K06711.01","FALSE POSITIVE",4.3206933,131.8905,50.68
6448768,,"K06712.01","FALSE POSITIVE",16.486796364,131.6041706,7.06797
6449291,,"K06713.01","FALSE POSITIVE",5.7768734,133.6218,5.762
